,Doxycycline,Tetracycline,Minocycline,Erythromycin,Lincomycin,Clindamycin,Quinupristin,Pristinamycin_IA,Virginiamycin_S,Azithromycin,Telithromycin,Dalfopristin,Pristinamycin_IIA,Virginiamycin_M,Tiamulin,Tigecycline,Chloramphenicol,Amikacin,Gentamicin,Tobramycin,Streptomycin
Streptococcus_oralis_GCA_021497945.1_ASM2149794v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_cristatus_GCA_000385925.1_ASM38592v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_016658865.1_ASM1665886v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_parasanguinis_GCA_018619375.2_ASM1861937v2_genomic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptococcus_australis_GCA_900636505.1_42650_H02_genomic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_rubneri_GCA_019334785.1_ASM1933478v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_parasanguinis_GCA_000262145.1_ASM26214v1_genomic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_gordonii_GCA_001281105.1_ASM128110v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_lactarius_GCA_018127725.1_ASM1812772v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_oralis_GCA_002356415.1_ASM235641v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oligofermentans_GCA_900478185.1_51342_H01_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_pneumoniae_GCA_030127445.1_ASM3012744v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Streptococcus_mitis_GCA_000027165.1_ASM2716v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptococcus_parasanguinis_GCA_032163505.1_ASM3216350v1_genomic,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Streptococcus_pneumoniae_GCA_036509575.1_ASM3650957v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_pneumoniae_GCA_002947575.1_ASM294757v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Streptococcus_mitis_GCA_965111715.1_F22_genome_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_001560895.1_ASM156089v1_genomic,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
Streptococcus_mitis_GCA_965111725.1_C22_genome_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_014467095.1_ASM1446709v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_pneumoniae_GCA_026625965.1_ASM2662596v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_parasanguinis_GCA_000164675.2_ASM16467v2_genomic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_mitis_GCA_965111735.1_D22_genome_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_023611505.1_ASM2361150v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_gordonii_GCA_019449375.2_ASM1944937v2_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_cristatus_GCA_900475445.1_42727_F01_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_013305725.1_ASM1330572v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_000253155.1_ASM25315v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_tigurinus_GCA_002356415.1_ASM235641v1_genomic,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_021497885.1_ASM2149788v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_australis_GCA_900476055.1_53750_F01_genomic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_parasanguinis_GCA_031582885.1_ASM3158288v1_genomic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Streptococcus_mitis_GCA_018985535.2_ASM1898553v2_genomic,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
Streptococcus_mitis_GCA_965111745.1_B22_genome_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_oligofermentans_GCA_900475445.1_42727_F01_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_oligofermentans_GCA_000385925.1_ASM38592v1_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_cristatus_GCA_900478185.1_51342_H01_genomic,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_pneumoniae_GCA_026625945.1_ASM2662594v1_genomic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_pseudopneumoniae_GCA_000221985.1_ASM22198v1_genomic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_000722765.2_ASM72276v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
